###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57737.44778,7.372,0.336,4086273,1372801,o,0,0,127.39139,20.17219,4558.69,1454.3,3.74,3.65,-65.3,-0.444,18.08,18.58,02a57737o0483o
57737.46038,0,0,0,0,o,0,-2,127.39011,20.17313,4535.31,1451.65,3.63,3.53,-59.1,-0.453,18.14,18.6,02a57737o0504o
57737.47206,6.779,0.241,7054994,1700844,o,0,0,127.38891,20.17401,4522.89,1415.39,3.62,3.52,-63.3,-0.448,18.15,18.64,02a57737o0524o
57737.48189,7.511,0.792,3595342,2846850,o,0,0,127.3879,20.17474,4509.97,1532.29,3.63,3.49,-66.4,-0.45,18.18,18.65,02a57737o0540o
57737.4956,0,0,0,0,o,0,-2,127.38649,20.17575,4499.41,1431.31,3.57,3.44,-63.9,-0.459,18.19,18.67,02a57737o0566o
57745.50083,9.69,1.146,483144,553586,c,0,0,126.38197,20.82548,4156.29,8739.71,3.63,3.41,1.1,-0.417,19.74,21.74,02a57745o0581c
57745.51448,8.309,0.151,1723614,261029,c,0,0,126.37972,20.8267,4167,8781.05,3.81,3.63,11.5,-0.45,19.7,21.72,02a57745o0605c
57745.52927,7.982,0.046,2328245,107248,c,0,0,126.37728,20.82802,6405.52,1747.87,3.84,3.76,-81.3,-0.39,19.66,21.59,02a57745o0631c
57745.54073,8.545,0.086,1386902,119092,c,0,0,126.37538,20.82903,6429.61,1636.72,4.44,3.93,-0.2,-0.379,19.53,21.52,02a57745o0649c
57745.56621,8.091,0.038,2107448,80721,c,0,0,126.37118,20.83128,6399.86,1700.24,4.43,4.09,-0.9,-0.38,19.47,21.44,02a57745o0691c
57753.48272,6.68,0.118,7726067,913284,c,0,0,124.92042,21.58212,3891.44,6530.98,3.69,3.63,72.1,-0.399,18.33,20.23,02a57753o0427c
57753.49552,8.332,0.25,1686759,421382,c,0,0,124.91762,21.5834,6596.8,3875.38,3.76,3.56,85.8,-0.38,18.53,20.41,02a57753o0450c
57753.50962,7.866,0.115,2592145,297048,c,0,0,124.91453,21.58481,6653.92,3954.3,3.74,3.54,84.4,-0.383,18.05,19.91,02a57753o0476c
57753.5199,7.446,0.042,3814679,161127,c,0,0,124.91228,21.58583,6678.7,3844.36,3.73,3.51,88,-0.39,18.97,20.84,02a57753o0493c
57753.53084,7.984,0.185,2324378,429353,c,0,0,124.90988,21.58692,6645.98,3902.97,3.73,3.53,86.7,-0.391,18.53,20.35,02a57753o0513c
57757.46882,6.779,0.041,7050766,288723,c,0,0,124.04199,21.98741,9540.85,5684.99,3.79,3.27,-85.2,-0.426,19.71,21.61,02a57757o0503c
57757.48107,-6.778,0.088,-7061854,620237,c,0,0,124.03904,21.98868,950.45,4729.98,3.97,3.64,64.7,-0.402,19.67,21.55,02a57757o0526c
57757.495,-4.48,0.266,-58606518,15570988,c,0,0,124.03568,21.99011,1009.69,4805.93,3.94,3.65,58.9,-0.415,19.68,21.53,02a57757o0550c
57757.50541,0,0,0,0,c,0,-2,124.03317,21.99118,993.24,4654.58,3.93,3.66,60,-0.405,19.66,21.52,02a57757o0569c
57757.5174,-7.567,0.108,-3412949,367886,c,0,0,124.03028,21.99242,1003.38,4752.62,3.96,3.65,61.5,-0.403,19.67,21.54,02a57757o0589c
57758.37005,7.089,0.047,5300012,247877,c,0,0,123.83259,22.08047,10074.77,5330.46,4.11,3.63,81.8,-0.43,19.25,20.83,02a57758o0332c
57758.38787,6.907,0.044,6267315,273104,c,0,0,123.82825,22.08235,9756.94,6788.48,3.98,3.4,89,-0.421,19.36,20.96,02a57758o0365c
57759.62779,0,0,0,0,o,0,-2,123.53038,22.21112,346.3,4729.45,3.8,3.45,69.6,-0.423,19.24,20.77,02a57759o0015o
57759.63614,6.678,0.331,7740600,2559566,o,0,0,123.52831,22.21196,9099.23,5649.19,3.83,3.18,89.6,-0.437,19.23,20.74,02a57759o0030o
57759.64471,0,0,0,0,o,0,-2,123.5262,22.21283,352.76,4730.66,3.83,3.58,83.1,-0.408,19.11,20.61,02a57759o0045o
57759.66562,0,0,0,0,o,0,-2,123.52105,22.21494,9940.44,4756.3,3.95,2.99,87.8,-0.488,18.91,20.15,02a57759o0083o
57761.42976,0,0,0,0,o,0,-2,123.09035,22.39953,9229.2,3621.32,3.75,3.23,-88.9,-0.439,18.92,20.04,02a57761o0413o
57761.44334,6.307,0.28,10892041,3047360,o,0,0,123.08684,22.40096,9279.59,3702.95,3.73,3.22,-89.5,-0.442,18.92,20.05,02a57761o0435o
57761.45782,0,0,0,0,o,0,-2,123.08309,22.40249,1251.58,6778.22,3.51,3.25,43.7,-0.491,18.96,20.11,02a57761o0460o
57761.47184,7.009,0.341,5704785,1942700,o,0,0,123.07946,22.40396,9195.06,3741.95,3.7,3.19,-85.7,-0.443,18.96,20.13,02a57761o0480o
57761.48387,0,0,0,0,o,0,-2,123.07634,22.40522,1243.22,6729.95,3.56,3.3,47.8,-0.495,18.98,20.16,02a57761o0500o
57769.47072,6.862,0.68,6534726,4440651,o,0,0,120.98774,23.23644,6631.63,6651.5,3.79,3.65,-6.1,-0.426,18.75,19.92,02a57769o0426o
57769.48378,6.332,0.442,10648302,4706465,o,0,0,120.98408,23.23777,6618.62,6614.7,3.48,3.37,-70.5,-0.458,18.83,19.91,02a57769o0449o
57769.4975,5.875,0.205,16213740,3325849,o,0,0,120.98023,23.23916,6679.52,6698.5,3.63,3.59,-22.9,-0.436,18.78,19.91,02a57769o0472o
57769.50919,0,0,0,0,o,0,-2,120.97695,23.24034,6663.37,6540.56,3.88,3.63,-12.9,-0.423,18.73,19.9,02a57769o0492o
57769.52045,0,0,0,0,o,0,-2,120.9738,23.24147,6633.11,6602.23,3.43,3.25,-80.2,-0.473,18.87,19.93,02a57769o0512o
57777.43395,0,-10.886,0,8.20764E+13,c,0,0,118.81877,24.01948,7535.48,7228.29,3.84,3.56,82.8,-0.406,19.67,21.64,02a57777o0455c
57777.44698,7.581,0.161,3368801,543215,c,0,0,118.81512,24.02069,7523.75,7190.69,3.87,3.53,85.3,-0.41,19.68,21.65,02a57777o0478c
57777.46187,7.567,0.441,3412925,1504758,c,0,0,118.81094,24.02206,7601.23,7275.45,3.86,3.51,88.3,-0.414,19.67,21.64,02a57777o0504c
57777.48328,8.035,0.376,2217248,834461,c,0,0,118.80495,24.02403,7630.06,7164.59,3.87,3.55,88.3,-0.413,19.65,21.63,02a57777o0542c
57777.49558,8.629,5.272,1283372,6765950,c,0,0,118.80151,24.02516,7584.29,7222.17,3.81,3.49,88.3,-0.418,19.65,21.59,02a57777o0564c
57781.41286,0,0,0,0,c,0,-2,117.7591,24.37831,278.32,8175.23,3.87,3.49,35.9,-0.435,19.76,21.76,02a57781o0351c
57781.43264,8.244,0.801,1829952,1465567,c,0,0,117.75373,24.38002,9777.48,8247.73,3.82,3.36,-82.8,-0.4,19.75,21.75,02a57781o0386c
